date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:38:46	37345/37345	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:38:43%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/personal-works	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/personal-works.html	(from http://my-site:5000/cms/joomla17/index.php)
23:38:46	85558/85558	---M--	200	added ('OK')	application/javascript	etag:%2214e36-4b61423426e80%22	http://my-site:5000/cms/joomla17/templates/tpl_home/jquery.js	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/templates/tpl_home/jquery.js	(from http://my-site:5000/cms/joomla17/index.php)
23:38:48	34905/34905	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:38:44%20GMT	http://my-site:5000/cms/joomla17/index.php/developerblog	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/developerblog.html	(from http://my-site:5000/cms/joomla17/index.php)
23:38:51	35622/35622	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:38:48%20GMT	http://my-site:5000/cms/joomla17/index.php/lifeblog	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/lifeblog.html	(from http://my-site:5000/cms/joomla17/index.php)
23:38:52	10012/10012	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:38:51%20GMT	http://my-site:5000/cms/joomla17/index.php/about	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/about.html	(from http://my-site:5000/cms/joomla17/index.php)
23:38:56	17983/17983	---M--	200	added ('OK')	image/jpeg	etag:%22463f-4b60b17246800%22	http://my-site:5000/resources/random_img/thumbs/rtw_myworld001.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/thumbs/rtw_myworld001.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:04	74772/74772	---M--	200	added ('OK')	image/jpeg	etag:%2212414-4b60b165e0ac0%22	http://my-site:5000/resources/random_img/rtw_myworld001.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/rtw_myworld001.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:09	81007/81007	---M--	200	added ('OK')	image/jpeg	etag:%2213c6f-4b6849b0b7400%22	http://my-site:5000/resources/random_img/music0002.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/music0002.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:12	48457/48457	---M--	200	added ('OK')	image/jpeg	etag:%22bd49-4b60b168bd180%22	http://my-site:5000/resources/random_img/ubi_dsf001.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/ubi_dsf001.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:12	120469/120469	---M--	200	added ('OK')	image/jpeg	etag:%221d695-4b6849a545900%22	http://my-site:5000/resources/random_img/awards001.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/awards001.jpg	(from http://my-site:5000/cms/joomla17/index.php)
